s1,s2,t1,t2
1388,2424,51.10,42.80
1394,2427,51.09,42.92
1394,2432,50.98,42.93
1395,2425,50.88,42.64
1394,2427,50.99,42.97
1394,2427,50.99,43.18
1395,2427,50.99,43.16
1395,2427,51.19,43.34
1393,2431,51.08,43.31
1392,2424,51.17,43.18
1393,2425,51.25,43.16
1359,2426,51.33,43.44
1393,2425,51.29,43.50
1392,2423,51.26,43.25
1394,2426,51.24,43.22
1392,2428,51.01,43.10
1392,2422,51.11,43.19
1392,2426,51.00,43.57
1397,2426,50.90,43.72
1392,2431,50.71,43.74
1394,2423,50.84,43.77
1394,2428,51.06,43.59
1394,2428,51.05,43.73
1392,2427,51.15,43.66
1394,2423,51.03,43.79
1392,2423,51.03,43.91
1393,2426,51.02,44.12
1392,2428,51.22,44.21
1393,2426,51.20,44.39
1393,2428,51.08,44.15
1393,2428,51.07,44.24
1392,2428,50.96,44.11
1391,2422,51.07,43.90
1392,2423,50.86,43.91
1396,2428,50.78,43.62
1394,2424,50.70,43.56
1390,2428,50.73,43.60
1394,2426,50.76,43.34
1393,2424,50.88,43.31
1393,2426,50.89,43.18
1393,2431,50.60,43.56
1393,2428,50.54,43.50
1393,2425,50.69,43.65
1392,2424,50.72,43.59
1393,2424,50.85,43.53
1392,2427,51.06,43.68
1392,2425,51.06,43.41
1394,2428,51.15,43.27
1394,2426,51.14,43.34
1391,2428,51.02,43.51
1395,2431,50.92,43.36
1393,2426,50.83,43.42
1392,2426,50.65,43.28
1390,2405,50.78,43.25
1394,2426,50.90,43.63
1393,2427,50.91,43.36
1395,2430,50.82,43.53
1395,2429,50.94,43.57
1394,2434,51.15,43.52
1391,2431,51.03,43.56
1395,2426,50.73,43.71
1393,2428,50.65,43.74
1394,2420,50.59,43.56
1392,2425,50.53,43.41
1393,2424,50.68,43.57
1392,2424,50.71,43.41
1394,2430,50.54,43.67
1394,2426,50.78,43.80
1393,2426,50.71,43.72
1392,2427,50.54,43.85
1393,2427,50.58,43.56
1394,2431,50.42,43.31
1392,2427,50.38,43.18
1394,2426,50.44,42.96
1393,2432,50.70,42.86
1392,2430,50.63,42.68
1389,2425,50.87,42.71
1393,2425,50.88,42.74
1394,2429,50.69,42.86
1392,2426,50.92,42.88
1429,2430,50.83,42.89
1393,2425,50.85,43.00
1393,2426,50.96,42.90
1394,2420,50.67,42.91
1394,2427,50.70,42.82
1411,2423,50.43,42.84
1393,2428,50.69,43.05
1394,2426,50.82,43.35
1393,2425,50.84,43.11
1395,2424,50.85,42.90
1395,2428,50.97,42.91
1394,2426,50.87,43.02
1395,2427,50.88,43.12
1397,2427,50.90,42.91
1394,2424,50.71,42.82
1393,2423,50.74,42.83
1395,2427,50.66,42.85
1394,2424,50.60,42.67
1395,2431,50.64,42.80
1390,2429,50.77,42.82
1396,2429,50.60,43.04
1394,2428,50.74,43.13
1393,2421,50.66,42.92
1396,2427,50.80,43.03
1395,2427,50.72,43.03
1396,2427,50.64,42.92
1398,2429,50.78,43.03
1393,2425,50.70,42.93
1393,2424,50.73,42.93
1393,2424,50.66,42.84
1392,2426,50.69,43.06
1390,2423,50.62,43.25
1393,2432,50.56,43.13
1395,2426,50.41,42.91
1400,2424,50.36,42.82
1404,2426,50.23,42.64
1406,2424,50.21,42.88
1411,2426,50.18,42.99
1411,2426,50.27,42.89
1414,2428,50.14,43.00
1410,2426,50.03,43.10
1411,2426,50.02,43.29
1412,2427,50.32,43.16
1411,2422,50.19,43.05
1408,2425,50.27,42.94
1410,2427,50.34,43.05
1411,2424,50.51,43.24
1410,2426,50.66,43.22
1409,2424,50.79,43.40
1436,2422,50.61,43.36
1412,2425,50.55,43.52
1410,2432,50.80,43.47
1410,2423,50.72,43.62
1411,2425,50.85,43.66
1414,2424,50.86,43.39
1411,2423,50.77,43.05
1414,2426,50.70,43.25
1411,2422,50.83,43.22
1414,2425,51.04,43.10
1415,2424,51.04,43.09
1413,2426,50.94,42.98
1418,2419,50.84,42.98
1416,2422,51.06,43.19
1418,2424,50.85,42.87
1419,2424,50.67,42.78
1423,2421,50.60,42.90
1424,2420,50.64,42.91
1424,2423,50.58,42.62
1420,2423,50.72,42.46
1424,2420,50.85,42.51
1422,2427,50.66,42.66
1421,2418,50.70,42.60
1421,2423,50.63,42.74
1419,2425,50.66,42.96
1418,2422,50.70,43.07
1417,2420,50.73,42.96
1416,2423,50.75,42.86
1415,2421,50.68,42.78
1415,2415,50.81,42.90
1415,2410,50.83,43.21
1412,2409,50.85,43.19
1413,2418,50.76,43.17
1415,2415,50.99,42.85
1413,2414,50.99,42.87
1413,2419,50.99,42.78
1412,2419,51.09,42.80
1413,2416,50.98,42.82
1414,2422,50.98,42.84
1409,2422,50.98,42.86
1420,2433,50.89,42.97
1384,2435,51.00,43.07
1387,2435,51.30,43.27
1395,2430,51.17,43.24
1409,2420,50.95,43.12
1420,2415,50.96,43.50
1428,2406,51.06,43.35
1433,2396,50.85,43.22
1442,2397,50.87,43.00
1440,2394,50.88,43.10
1435,2396,50.99,42.79
1433,2399,50.89,42.81
1429,2405,50.81,42.83
1427,2405,50.92,42.74
1427,2403,50.53,42.97
1431,2409,50.48,43.07
1383,2408,50.43,43.17
1427,2405,50.49,43.25
1425,2411,50.54,43.32
1419,2412,50.49,43.39
1421,2415,50.74,43.45
1416,2421,50.86,43.51
1417,2423,51.08,43.36
1420,2410,51.07,43.32
1433,2405,50.96,43.59
1440,2401,51.07,43.63
1434,2404,51.06,43.57
1427,2401,51.05,43.71
1424,2397,51.05,43.64
1432,2393,51.14,43.58
1446,2391,51.33,43.52
1457,2394,51.20,43.47
1460,2385,51.38,43.42
1458,2385,51.24,43.28
1453,2386,51.41,43.25
1443,2383,51.27,43.32
1432,2380,51.35,43.09
1407,2386,51.21,42.88
1382,2380,51.39,43.19
1360,2389,51.35,43.18
1343,2396,51.22,43.26
1320,2401,51.49,43.53
1294,2404,51.55,43.38
1281,2408,51.69,43.64
1291,2407,51.92,43.28
1305,2403,51.83,43.15
1307,2401,51.75,43.43
1294,2397,51.67,43.39
1307,2401,51.70,43.05
1348,2400,51.73,43.15
1385,2409,51.76,43.13
1421,2413,51.78,43.22
1450,2412,51.81,43.20
1470,2410,51.73,43.18
1478,2409,51.55,43.16
1480,2404,51.30,42.94
1483,2399,51.07,42.65
1482,2399,51.06,42.98
1474,2395,50.96,42.99
1461,2401,50.76,42.79
1439,2395,50.78,43.11
1414,2398,50.81,43.00
1399,2403,50.92,42.90
1393,2401,51.03,43.01
1395,2402,50.93,43.11
1407,2408,50.94,43.00
1429,2404,50.84,42.80
1455,2398,50.86,42.52
1458,2388,50.77,42.77
1452,2381,50.80,42.69
1444,2371,50.72,42.82
1435,2371,50.94,43.04
1426,2377,50.75,42.83
1412,2391,50.87,42.95
1397,2415,50.89,43.16
1365,2432,51.10,43.14
1350,2433,51.19,43.03
1346,2438,51.27,43.02
1343,2430,51.54,42.82
1355,2460,51.39,42.84
1380,2414,51.55,42.86
1414,2407,51.59,42.87
1451,2394,51.44,42.98
1473,2389,51.59,43.18
1495,2375,51.63,43.27
1498,2374,51.57,43.34
1500,2380,51.31,43.41
1507,2371,51.28,43.36
1517,2360,51.25,43.53
1516,2352,51.23,43.38
1528,2344,50.90,43.34
1541,2346,50.91,43.60
1549,2338,50.72,43.74
1554,2330,50.55,43.77
1565,2322,50.50,43.59
1578,2317,50.45,43.63
1589,2317,50.30,43.67
1592,2316,50.07,43.60
1581,2309,50.16,43.84
1587,2310,50.35,43.86
1597,2302,50.21,43.67
1603,2311,50.39,43.81
1603,2308,50.35,43.72
1607,2306,50.02,43.55
1610,2301,50.12,43.60
1614,2297,50.00,43.74
1626,2295,49.70,43.56
1643,2288,49.53,43.41
1669,2242,49.58,43.37
1708,2237,49.62,43.53
1761,2183,49.56,43.48
1832,2126,49.30,43.73
1913,2039,49.07,43.96
2009,1916,48.57,44.16
2129,1733,48.51,44.54
2195,1657,48.26,44.69
2240,1616,47.83,44.82
