s1,s2,t1,t2
2257,1349,46.79,51.67
2256,1356,46.80,51.69
2258,1344,46.81,51.65
2255,1358,46.77,51.67
2259,1339,46.73,51.79
2254,1351,46.64,51.80
2256,1355,46.61,51.76
2257,1345,46.58,51.82
2255,1345,46.55,51.88
2256,1350,46.57,51.83
2236,1350,46.55,51.84
2257,1351,46.62,51.80
2258,1353,46.59,51.91
2258,1352,46.51,51.91
2256,1351,46.48,51.92
2256,1357,46.46,51.97
2258,1347,46.49,51.92
2258,1340,46.41,51.83
2256,1351,46.49,51.89
2249,1354,46.52,51.89
2256,1329,46.54,51.95
2254,1356,46.56,51.95
2256,1360,46.69,52.00
2257,1341,46.70,52.05
2257,1361,46.72,52.10
2257,1358,46.73,52.25
2258,1346,46.74,52.23
2256,1351,46.71,52.17
2256,1343,46.72,52.21
2255,1351,46.69,52.15
2256,1354,46.75,52.19
2259,1356,46.76,52.08
2258,1359,46.78,52.03
2258,1353,46.74,52.13
2254,1349,46.75,52.02
2255,1352,46.86,52.02
2258,1351,46.87,52.07
2258,1354,46.93,51.92
2256,1353,46.93,51.97
2255,1350,46.98,51.97
2256,1348,46.93,52.02
2256,1347,46.94,52.02
2258,1350,46.89,51.92
2256,1348,46.85,51.88
2255,1360,46.90,51.83
2256,1349,46.81,51.94
2259,1350,46.72,51.94
2259,1352,46.63,51.90
2256,1355,46.65,52.00
2255,1355,46.57,52.00
2256,1340,46.59,52.10
2257,1350,46.56,52.15
2259,1362,46.63,52.24
2257,1355,46.70,52.23
2253,1353,46.77,52.12
2256,1347,46.68,52.06
2258,1346,46.69,52.01
2257,1356,46.66,52.01
2256,1356,46.68,52.11
2257,1353,46.59,51.95
2267,1347,46.56,51.90
2257,1352,46.53,52.01
2258,1356,46.51,52.01
2257,1359,46.43,52.01
2256,1357,46.36,52.01
2254,1358,46.39,52.21
2260,1354,46.37,52.20
2261,1357,46.35,52.24
2263,1353,46.39,52.22
2262,1347,46.32,52.11
2263,1347,46.30,52.06
2265,1355,46.29,52.00
2265,1355,46.27,51.95
2268,1355,46.26,52.01
2266,1356,46.15,52.01
2268,1358,46.14,52.01
2295,1349,46.13,52.06
2308,1354,46.22,52.10
2312,1355,46.36,52.00
2314,1357,46.45,52.00
2319,1346,46.42,51.95
2328,1360,46.35,51.95
2332,1357,46.38,51.95
2335,1354,46.32,51.96
2338,1358,46.20,51.96
2339,1356,46.19,52.01
2342,1362,46.23,51.96
2345,1370,46.37,52.01
2345,1378,46.40,52.06
2345,1389,46.38,51.96
2346,1388,46.46,52.06
2342,1392,46.54,52.06
2345,1388,46.56,52.10
2345,1372,46.63,52.20
2344,1380,46.65,52.09
2345,1379,46.62,52.13
2347,1376,46.59,52.18
2347,1374,46.66,52.22
2347,1376,46.58,52.11
2349,1369,46.50,52.10
2347,1356,46.47,52.10
2346,1365,46.45,52.14
2344,1377,46.28,52.04
2347,1376,46.26,52.03
2347,1384,46.30,52.08
2348,1393,46.28,52.03
2350,1383,46.37,51.83
2347,1380,46.40,51.89
2346,1363,46.48,51.89
2351,1368,46.41,51.95
2354,1349,46.44,52.00
2356,1361,46.51,52.00
2356,1352,46.44,51.95
2359,1350,46.52,51.75
2358,1347,46.54,51.76
2361,1343,46.56,51.73
2357,1339,46.59,51.74
2357,1337,46.46,51.65
2356,1354,46.43,51.62
2357,1362,46.41,51.59
2410,1365,46.39,51.56
2357,1361,46.42,51.58
2357,1349,46.50,51.65
2318,1342,46.48,51.72
2358,1344,46.55,51.78
2357,1359,46.57,51.79
2353,1373,46.60,51.70
2347,1377,46.62,51.67
2341,1390,46.74,51.59
2333,1404,46.70,51.61
2323,1410,46.71,51.63
2313,1417,46.83,51.65
2304,1429,46.89,51.56
2295,1440,46.94,51.53
2289,1446,47.00,51.56
2286,1454,46.95,51.58
2286,1461,47.05,51.65
2283,1475,47.00,51.62
2283,1482,47.00,51.69
2272,1496,47.05,51.55
2263,1511,47.09,51.43
2241,1511,47.09,51.45
2221,1546,47.08,51.38
2198,1570,47.13,51.11
2173,1591,47.22,51.16
2133,1634,47.26,51.00
2079,1704,47.40,51.10
2009,1788,47.43,51.14
1925,1904,47.51,50.94
1811,2038,47.73,50.74
1749,2093,47.80,50.55
1675,2149,47.96,50.43
1659,2146,48.16,50.25
1648,2143,48.25,50.09
1639,2139,48.44,49.94
1622,2146,48.62,49.84
1603,2142,48.84,49.60
1587,2139,49.04,49.52
1571,2136,49.04,49.44
1584,2151,49.19,49.37
1563,2153,49.18,49.25
1564,2153,49.32,49.19
1565,2168,49.50,49.18
1563,2170,49.68,49.12
1558,2167,49.80,49.06
1552,2173,49.91,49.06
1538,2170,49.96,48.86
1512,2172,50.11,48.82
1478,2166,50.26,48.77
1447,2166,50.44,48.84
1422,2159,50.57,48.79
1401,2176,50.64,48.75
1367,2191,50.86,48.57
1361,2205,50.97,48.44
1318,2218,51.07,48.52
1311,2227,51.22,48.44
1301,2228,51.31,48.47
1296,2234,51.44,48.35
1294,2237,51.47,48.43
1290,2232,51.49,48.46
1281,2239,51.42,48.38
1263,2245,51.50,48.31
1242,2257,51.57,48.20
1228,2273,51.75,48.09
1224,2279,51.76,47.98
1226,2279,51.87,47.84
1223,2276,51.98,47.74
1221,2275,52.13,47.81
1220,2270,52.22,47.72
1217,2277,52.26,47.73
1202,2283,52.40,47.79
1190,2278,52.48,47.65
1184,2278,52.55,47.67
1189,2279,52.73,47.64
1204,2277,52.74,47.61
1229,2263,52.80,47.58
1261,2243,52.86,47.55
1286,2234,52.87,47.57
1302,2225,52.93,47.49
1316,2219,52.93,47.47
1332,2222,53.08,47.24
1343,2211,53.08,47.33
1356,2223,53.08,47.36
1371,2209,53.12,47.30
1384,2204,53.12,47.23
1406,2198,53.06,47.32
1439,2187,52.96,47.30
1474,2181,52.96,47.29
1503,2161,52.91,47.17
1529,2149,52.87,47.12
1563,2146,52.77,47.16
1588,2145,52.58,47.25
1610,2151,52.50,47.34
1631,2153,52.48,47.32
1646,2157,52.40,47.31
1658,2152,52.38,47.34
1661,2154,52.32,47.27
1668,2148,52.20,47.36
1664,2146,52.19,47.39
1660,2143,52.23,47.32
1656,2136,52.27,47.31
1660,2131,52.26,47.24
1679,2132,52.29,47.28
1700,2118,52.23,47.31
1728,2102,52.17,47.35
1758,2097,52.01,47.48
1779,2089,52.01,47.51
1804,2093,51.91,47.58
1834,2070,51.91,47.60
1876,2025,51.82,47.77
1946,1956,51.73,47.88
2051,1830,51.54,47.94
2165,1648,51.41,48.19
2232,1495,51.24,48.43
2248,1495,51.08,48.51
2295,1451,50.83,48.64
2315,1455,50.68,48.80
2313,1477,50.50,48.81
2324,1491,50.28,48.87
2339,1496,50.11,48.93
2348,1502,49.96,49.13
2354,1506,49.81,49.28
2356,1506,49.57,49.41
2357,1501,49.44,49.49
2359,1487,49.37,49.62
2364,1464,49.25,49.64
2369,1442,49.09,49.90
2373,1425,48.93,50.01
2378,1413,48.84,50.11
2384,1393,48.64,50.10
2389,1379,48.46,50.30
2395,1357,48.39,50.48
2401,1333,48.32,50.66
2403,1294,48.20,50.78
2407,1253,48.14,50.99
2412,1209,47.94,51.04
2415,1176,47.74,51.29
2406,1165,47.75,51.37
2423,1175,47.66,51.45
2430,1169,47.53,51.48
2441,1167,47.35,51.46
2449,1161,47.39,51.38
2455,1144,47.27,51.51
2464,1138,47.25,51.59
2470,1134,47.24,51.56
2473,1131,47.18,51.53
2474,1129,47.17,51.45
2474,1134,47.16,51.58
2475,1129,46.95,51.65
2481,1131,46.91,51.77
2487,1122,46.81,51.93
2491,1115,46.82,52.04
2504,1101,46.68,52.08
2517,1094,46.65,52.18
2532,1058,46.51,52.17
2545,1047,46.44,52.11
2551,1043,46.42,52.16
2553,1037,46.34,52.30
2553,1043,46.38,52.13
2553,1044,46.26,52.28
2558,1025,46.35,52.46
2570,1008,46.33,52.49
2579,1002,46.31,52.42
2582,994,46.30,52.44
2582,995,46.18,52.47
2577,992,46.22,52.70
2580,1010,46.16,52.86
2575,1018,46.15,52.92
2567,1024,46.20,53.02
2554,1027,46.19,53.02
2545,1043,46.18,52.97
2542,1064,46.12,52.97
2532,1075,46.11,52.92
2517,1075,46.16,53.03
2498,1103,46.05,53.03
2475,1132,46.00,53.08
2456,1155,46.00,53.07
2442,1174,46.00,53.07
2432,1190,46.00,53.02
2425,1202,46.05,53.11
2422,1207,46.04,53.06
2421,1217,46.09,52.96
2420,1245,46.09,52.81
2412,1255,46.13,52.67
2409,1267,46.13,52.68
2405,1271,46.17,52.65
2405,1275,46.26,52.62
2404,1288,46.30,52.74
2401,1288,46.23,52.90
2396,1302,46.27,52.95
2391,1297,46.36,52.81
2389,1305,46.44,52.82
2385,1316,46.37,52.68
2382,1323,46.35,52.69
